,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,TSLA240112C00100000,2023-12-14 16:16:33+00:00,100.0,147.1,153.25,154.65,0.0,0.0,36.0,64,1.6298846630859374,True,REGULAR,USD
1,TSLA240112C00110000,2023-12-08 20:10:16+00:00,110.0,134.0,143.25,144.75,0.0,0.0,,2,1.4990259423828123,True,REGULAR,USD
2,TSLA240112C00115000,2023-12-07 20:27:00+00:00,115.0,126.8,138.3,139.7,0.0,0.0,2.0,2,1.4257841210937499,True,REGULAR,USD
3,TSLA240112C00120000,2023-12-12 20:05:06+00:00,120.0,117.64,132.65,134.8,0.0,0.0,150.0,153,1.2089883300781248,True,REGULAR,USD
4,TSLA240112C00145000,2023-12-14 17:13:41+00:00,145.0,108.1,107.8,109.95,2.199997,2.0774286,11.0,1,0.9975586181640624,True,REGULAR,USD
5,TSLA240112C00155000,2023-12-08 20:36:11+00:00,155.0,89.6,97.9,99.95,0.0,0.0,,1,0.9086923193359374,True,REGULAR,USD
6,TSLA240112C00160000,2023-12-13 16:44:06+00:00,160.0,93.3,92.95,95.0,21.920006,30.70889,3.0,6,0.8725598681640624,True,REGULAR,USD
7,TSLA240112C00180000,2023-12-14 17:03:25+00:00,180.0,71.05,73.1,75.25,0.0,0.0,6.0,24,0.7192410888671875,True,REGULAR,USD
8,TSLA240112C00185000,2023-12-15 15:38:18+00:00,185.0,68.6,68.9,70.3,22.23,47.94048,1.0,34,0.7404811108398437,True,REGULAR,USD
9,TSLA240112C00190000,2023-12-14 18:17:46+00:00,190.0,63.43,63.3,65.4,0.4300003,0.6825401,16.0,56,0.6521030883789063,True,REGULAR,USD
10,TSLA240112C00195000,2023-12-14 15:14:51+00:00,195.0,54.4,58.4,60.5,0.0,0.0,6.0,19,0.6179237426757813,True,REGULAR,USD
11,TSLA240112C00200000,2023-12-15 15:18:03+00:00,200.0,54.9,53.65,55.65,1.6500015,3.0985944,3.0,59,0.5944864770507813,True,REGULAR,USD
12,TSLA240112C00205000,2023-12-15 17:49:07+00:00,205.0,49.0,48.95,50.8,1.0,2.0833335,9.0,203,0.5690961059570312,True,REGULAR,USD
13,TSLA240112C00210000,2023-12-15 18:09:14+00:00,210.0,45.23,44.3,46.15,5.540001,13.9581785,21.0,264,0.5510298803710938,True,REGULAR,USD
14,TSLA240112C00215000,2023-12-15 20:57:15+00:00,215.0,41.1,39.8,41.55,2.8099976,7.338724,54.0,113,0.5343064147949219,True,REGULAR,USD
15,TSLA240112C00220000,2023-12-15 20:27:02+00:00,220.0,35.29,35.65,37.0,0.29000092,0.82857406,36.0,129,0.5236864038085938,True,REGULAR,USD
16,TSLA240112C00225000,2023-12-15 20:57:35+00:00,225.0,32.5,31.05,32.65,2.6200008,8.768411,25.0,305,0.5415084912109377,True,REGULAR,USD
17,TSLA240112C00230000,2023-12-15 20:54:32+00:00,230.0,28.4,27.45,28.6,2.25,8.604207,137.0,812,0.5260667510986328,True,REGULAR,USD
18,TSLA240112C00235000,2023-12-15 20:56:22+00:00,235.0,24.64,23.1,24.7,2.4899998,11.241534,98.0,1222,0.5091601818847658,True,REGULAR,USD
19,TSLA240112C00240000,2023-12-15 20:55:59+00:00,240.0,20.75,19.65,21.25,1.2999992,6.6838,695.0,1684,0.5022632781982423,True,REGULAR,USD
20,TSLA240112C00245000,2023-12-15 20:59:59+00:00,245.0,17.6,16.45,18.35,1.2000008,7.317078,362.0,1534,0.5062915582275391,True,REGULAR,USD
21,TSLA240112C00250000,2023-12-15 20:58:14+00:00,250.0,14.75,14.1,14.9,1.0500002,7.664235,1318.0,2470,0.47900911621093745,True,REGULAR,USD
22,TSLA240112C00255000,2023-12-15 20:59:50+00:00,255.0,12.12,11.05,12.9,0.97000027,8.699554,1580.0,2014,0.4946339599609375,False,REGULAR,USD
23,TSLA240112C00260000,2023-12-15 20:59:38+00:00,260.0,9.95,9.8,10.05,0.72000027,7.8006535,1443.0,2234,0.46851117431640626,False,REGULAR,USD
24,TSLA240112C00265000,2023-12-15 20:59:57+00:00,265.0,8.15,7.8,8.25,0.65999985,8.811748,460.0,1422,0.4700370379638672,False,REGULAR,USD
25,TSLA240112C00270000,2023-12-15 20:59:07+00:00,270.0,6.5,6.2,6.6,0.4499998,7.438013,1410.0,1455,0.4669242761230469,False,REGULAR,USD
26,TSLA240112C00275000,2023-12-15 20:56:57+00:00,275.0,5.35,5.15,5.3,0.6500001,13.82979,427.0,1153,0.4676566906738281,False,REGULAR,USD
27,TSLA240112C00280000,2023-12-15 20:58:18+00:00,280.0,4.27,4.1,4.3,0.3699999,9.487177,282.0,866,0.4722953161621094,False,REGULAR,USD
28,TSLA240112C00285000,2023-12-15 20:59:02+00:00,285.0,3.4,3.25,3.4,0.35000014,11.475415,246.0,662,0.47290566162109376,False,REGULAR,USD
29,TSLA240112C00290000,2023-12-15 20:52:12+00:00,290.0,2.76,2.49,2.77,0.30999994,12.653059,98.0,1012,0.47949739257812496,False,REGULAR,USD
30,TSLA240112C00295000,2023-12-15 20:59:58+00:00,295.0,2.2,1.99,2.31,0.17000008,8.374388,89.0,387,0.48950705810546885,False,REGULAR,USD
31,TSLA240112C00300000,2023-12-15 20:59:38+00:00,300.0,1.77,1.71,1.8,0.13,7.9268293,820.0,1465,0.4897511962890626,False,REGULAR,USD
32,TSLA240112C00305000,2023-12-15 20:20:43+00:00,305.0,1.32,1.41,1.49,-0.03999996,-2.9411738,224.0,447,0.4982960327148438,False,REGULAR,USD
33,TSLA240112C00310000,2023-12-15 20:56:09+00:00,310.0,1.2,1.16,1.25,0.09000003,8.10811,227.0,699,0.5035450036621094,False,REGULAR,USD
34,TSLA240112C00315000,2023-12-15 17:31:56+00:00,315.0,1.0,0.95,1.02,0.050000012,5.2631593,86.0,212,0.5100146655273439,False,REGULAR,USD
35,TSLA240112C00320000,2023-12-15 20:59:15+00:00,320.0,0.82,0.79,0.85,0.060000002,7.8947372,64.0,206,0.5180712255859375,False,REGULAR,USD
36,TSLA240112C00325000,2023-12-15 15:33:15+00:00,325.0,0.7,0.67,0.69,0.00999999,1.449274,26.0,64,0.52539537109375,False,REGULAR,USD
37,TSLA240112C00330000,2023-12-15 18:33:43+00:00,330.0,0.58,0.57,0.61,0.050000012,9.433966,11.0,63,0.5363815893554689,False,REGULAR,USD
38,TSLA240112C00335000,2023-12-15 17:31:00+00:00,335.0,0.54,0.48,0.53,-0.06999999,-11.475409,7.0,49,0.5459029785156251,False,REGULAR,USD
39,TSLA240112C00340000,2023-12-15 18:39:57+00:00,340.0,0.45,0.41,0.45,0.01999998,4.6511583,60.0,243,0.5542036767578126,False,REGULAR,USD
40,TSLA240112C00345000,2023-12-15 16:48:24+00:00,345.0,0.38,0.35,0.4,0.030000001,8.571429,3.0,210,0.5639692041015626,False,REGULAR,USD
41,TSLA240112C00350000,2023-12-15 16:30:41+00:00,350.0,0.34,0.3,0.34,0.02000001,6.250004,43.0,1503,0.5712933496093751,False,REGULAR,USD
42,TSLA240112C00355000,2023-12-15 16:39:54+00:00,355.0,0.27,0.27,0.3,0.0,0.0,1.0,7,0.5820354296875,False,REGULAR,USD
43,TSLA240112C00360000,2023-12-15 17:28:42+00:00,360.0,0.26,0.23,0.27,0.019999996,8.333332,35.0,478,0.5913126806640626,False,REGULAR,USD
44,TSLA240112C00365000,2023-12-15 15:02:44+00:00,365.0,0.25,0.2,0.25,-0.03999999,-13.7931,146.0,156,0.6020547607421877,False,REGULAR,USD
