,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,TSLA231222C00030000,2023-12-14 19:32:32+00:00,30.0,220.4,222.8,224.25,0.0,0.0,44.0,49,5.5937530078124995,True,REGULAR,USD
1,TSLA231222C00050000,2023-11-24 17:42:36+00:00,50.0,186.9,202.65,204.0,0.0,0.0,1.0,1,5.976565029296875,True,REGULAR,USD
2,TSLA231222C00070000,2023-12-13 15:28:56+00:00,70.0,164.0,182.85,184.3,0.0,0.0,2.0,12,3.7656255859375003,True,REGULAR,USD
3,TSLA231222C00090000,2023-12-15 14:42:34+00:00,90.0,162.28,162.65,164.05,1.3600006,0.8451409,1.0,15,3.93750015625,True,REGULAR,USD
4,TSLA231222C00100000,2023-12-15 17:53:37+00:00,100.0,152.14,152.9,154.55,1.0899963,0.7216129,1.0,87,3.1406271484375,True,REGULAR,USD
5,TSLA231222C00105000,2023-12-14 19:53:34+00:00,105.0,145.93,147.9,149.55,0.0,0.0,6.0,7,2.988283779296875,True,REGULAR,USD
6,TSLA231222C00110000,2023-12-14 19:55:35+00:00,110.0,140.93,142.8,144.1,0.0,0.0,20.0,22,3.2714861962890627,True,REGULAR,USD
7,TSLA231222C00115000,2023-12-14 19:59:49+00:00,115.0,136.07,137.8,139.1,0.0,0.0,8.0,10,3.113283466796875,True,REGULAR,USD
8,TSLA231222C00120000,2023-12-15 19:55:10+00:00,120.0,131.85,132.7,134.1,15.380005,13.205121,37.0,10,2.9609400976562497,True,REGULAR,USD
9,TSLA231222C00125000,2023-12-14 19:59:49+00:00,125.0,126.72,127.75,129.1,0.62000275,0.49167547,1.0,23,2.8144560888671872,True,REGULAR,USD
10,TSLA231222C00130000,2023-12-15 18:38:56+00:00,130.0,121.19,122.75,124.45,13.779999,12.829344,2.0,56,2.0937547656249995,True,REGULAR,USD
11,TSLA231222C00135000,2023-12-14 20:00:37+00:00,135.0,116.11,117.8,119.15,0.0,0.0,6.0,25,2.572269194335937,True,REGULAR,USD
12,TSLA231222C00140000,2023-12-15 19:55:34+00:00,140.0,111.76,112.85,114.15,0.16000366,0.14337245,177.0,50,0.500005,True,REGULAR,USD
13,TSLA231222C00145000,2023-12-14 16:57:57+00:00,145.0,105.15,107.9,109.5,0.0,0.0,6.0,15,1.935547197265625,True,REGULAR,USD
14,TSLA231222C00150000,2023-12-14 20:00:37+00:00,150.0,99.35,102.8,104.15,-1.840004,-1.8183655,1.0,22,2.189457651367187,True,REGULAR,USD
15,TSLA231222C00155000,2023-12-15 14:33:46+00:00,155.0,98.16,97.9,99.45,6.2700043,6.8233805,2.0,22,1.6953140234375002,True,REGULAR,USD
16,TSLA231222C00160000,2023-12-15 16:14:41+00:00,160.0,91.65,92.9,94.1,1.7300034,1.9239362,20.0,44,0.500005,True,REGULAR,USD
17,TSLA231222C00165000,2023-12-15 19:57:24+00:00,165.0,86.79,87.95,89.1,15.239998,21.299788,126.0,16,1.203128984375,True,REGULAR,USD
18,TSLA231222C00170000,2023-12-15 20:04:50+00:00,170.0,83.82,82.85,84.25,2.8199997,3.4814813,8.0,61,1.2070352148437498,True,REGULAR,USD
19,TSLA231222C00175000,2023-12-15 19:07:58+00:00,175.0,76.9,77.85,79.25,1.5100021,2.0029209,6.0,86,1.125004375,True,REGULAR,USD
20,TSLA231222C00180000,2023-12-15 19:26:24+00:00,180.0,72.96,72.8,74.3,0.90999603,1.2630062,24.0,76,1.0468797656250002,True,REGULAR,USD
21,TSLA231222C00185000,2023-12-15 20:51:33+00:00,185.0,68.54,67.9,69.25,2.3600006,3.5660331,65.0,85,1.01953615234375,True,REGULAR,USD
22,TSLA231222C00190000,2023-12-15 19:39:30+00:00,190.0,61.54,62.9,64.25,0.9300003,1.5344008,45.0,118,0.9414068359375,True,REGULAR,USD
23,TSLA231222C00195000,2023-12-15 19:39:30+00:00,195.0,57.88,57.9,59.3,1.8700027,3.3386946,33.0,77,0.8984385156249999,True,REGULAR,USD
24,TSLA231222C00200000,2023-12-15 20:46:41+00:00,200.0,52.69,53.0,54.6,1.6399994,3.2125359,439.0,572,0.9677737597656251,True,REGULAR,USD
25,TSLA231222C00205000,2023-12-15 20:42:12+00:00,205.0,47.92,47.95,49.2,2.7199974,6.017693,82.0,135,0.71679970703125,True,REGULAR,USD
26,TSLA231222C00207500,2023-12-15 20:50:28+00:00,207.5,46.65,45.55,46.75,2.6200027,5.950495,17.0,39,0.7500025,True,REGULAR,USD
27,TSLA231222C00210000,2023-12-15 20:54:28+00:00,210.0,44.2,42.9,44.3,3.2000008,7.8048797,407.0,1040,0.6699251757812501,True,REGULAR,USD
28,TSLA231222C00212500,2023-12-15 20:52:23+00:00,212.5,41.4,40.6,41.9,0.9000015,2.222226,39.0,78,0.7304714453125,True,REGULAR,USD
29,TSLA231222C00215000,2023-12-15 20:48:08+00:00,215.0,39.1,38.0,39.4,2.6499977,7.2702265,306.0,1446,0.6640658593750002,True,REGULAR,USD
30,TSLA231222C00217500,2023-12-15 20:58:29+00:00,217.5,36.7,35.45,36.8,2.4000015,6.997089,53.0,165,0.579105771484375,True,REGULAR,USD
31,TSLA231222C00220000,2023-12-15 20:56:16+00:00,220.0,34.18,33.0,34.5,3.25,10.507598,488.0,1600,0.6074258007812501,True,REGULAR,USD
32,TSLA231222C00222500,2023-12-15 20:43:16+00:00,222.5,30.45,30.55,31.85,2.1500015,7.597179,335.0,205,0.5449264257812501,True,REGULAR,USD
33,TSLA231222C00225000,2023-12-15 20:57:45+00:00,225.0,29.3,28.2,29.35,2.7999992,10.566035,487.0,2834,0.5361374511718751,True,REGULAR,USD
34,TSLA231222C00227500,2023-12-15 20:27:34+00:00,227.5,26.85,25.8,26.7,2.6000004,10.721651,406.0,901,0.6069375244140626,True,REGULAR,USD
35,TSLA231222C00230000,2023-12-15 20:59:19+00:00,230.0,24.05,23.65,24.7,2.0499992,9.318178,1360.0,6275,0.5546919531250001,True,REGULAR,USD
36,TSLA231222C00232500,2023-12-15 20:57:31+00:00,232.5,21.95,21.1,22.25,2.6000004,13.436694,899.0,2672,0.5073291455078125,True,REGULAR,USD
37,TSLA231222C00235000,2023-12-15 20:59:24+00:00,235.0,19.5,18.55,19.9,2.0699997,11.876074,2096.0,6860,0.5722699023437501,True,REGULAR,USD
38,TSLA231222C00237500,2023-12-15 20:59:11+00:00,237.5,17.23,16.65,17.6,1.6399994,10.51956,1715.0,4462,0.5424850439453126,True,REGULAR,USD
39,TSLA231222C00240000,2023-12-15 20:59:32+00:00,240.0,15.5,14.6,15.2,1.8500004,13.553117,4919.0,8202,0.4968312036132813,True,REGULAR,USD
40,TSLA231222C00242500,2023-12-15 20:59:55+00:00,242.5,12.99,12.55,13.15,1.1899996,10.084743,1345.0,4598,0.4846242944335938,True,REGULAR,USD
41,TSLA231222C00245000,2023-12-15 20:59:46+00:00,245.0,10.6,10.6,11.15,0.6000004,6.000004,6478.0,6567,0.46753462158203124,True,REGULAR,USD
42,TSLA231222C00247500,2023-12-15 20:59:16+00:00,247.5,9.3,8.85,9.45,0.8500004,10.059176,7568.0,4095,0.46655806884765627,True,REGULAR,USD
43,TSLA231222C00250000,2023-12-15 20:59:57+00:00,250.0,7.8,7.65,7.8,0.6000004,8.333339,43740.0,24081,0.45703667968750006,True,REGULAR,USD
44,TSLA231222C00252500,2023-12-15 20:59:59+00:00,252.5,6.35,6.0,6.4,0.3499999,5.833332,47924.0,9273,0.4549615051269531,True,REGULAR,USD
45,TSLA231222C00255000,2023-12-15 20:59:59+00:00,255.0,5.12,5.05,5.2,0.119999886,2.3999977,52225.0,11602,0.45532771240234376,False,REGULAR,USD
46,TSLA231222C00257500,2023-12-15 20:59:58+00:00,257.5,4.12,4.05,4.2,0.069999695,1.7283874,12871.0,8961,0.45825737060546884,False,REGULAR,USD
47,TSLA231222C00260000,2023-12-15 20:59:59+00:00,260.0,3.25,3.2,3.3,0.0,0.0,68386.0,21461,0.4567925415039063,False,REGULAR,USD
48,TSLA231222C00262500,2023-12-15 20:59:57+00:00,262.5,2.63,2.52,2.65,0.02000022,0.766292,45138.0,4059,0.4643608251953125,False,REGULAR,USD
49,TSLA231222C00265000,2023-12-15 20:59:58+00:00,265.0,2.03,2.01,2.04,-0.059999943,-2.8708107,15576.0,10179,0.4643608251953125,False,REGULAR,USD
50,TSLA231222C00267500,2023-12-15 20:59:57+00:00,267.5,1.58,1.46,1.62,-0.089999914,-5.3892164,5843.0,3268,0.47241738525390625,False,REGULAR,USD
51,TSLA231222C00270000,2023-12-15 20:59:59+00:00,270.0,1.23,1.2,1.26,-0.120000005,-8.888889,42466.0,9924,0.477544287109375,False,REGULAR,USD
52,TSLA231222C00275000,2023-12-15 20:59:55+00:00,275.0,0.77,0.75,0.77,-0.08000004,-9.411769,9000.0,5808,0.4914601635742188,False,REGULAR,USD
53,TSLA231222C00280000,2023-12-15 20:59:55+00:00,280.0,0.49,0.47,0.48,-0.089999974,-15.517238,7794.0,8688,0.5073291455078125,False,REGULAR,USD
54,TSLA231222C00285000,2023-12-15 20:59:54+00:00,285.0,0.3,0.25,0.31,-0.099999994,-24.999998,3751.0,4283,0.5185595019531251,False,REGULAR,USD
55,TSLA231222C00290000,2023-12-15 20:59:44+00:00,290.0,0.23,0.19,0.23,-0.029999986,-11.538456,5593.0,2819,0.5512740185546876,False,REGULAR,USD
56,TSLA231222C00295000,2023-12-15 20:59:54+00:00,295.0,0.17,0.13,0.17,-0.030000001,-15.000001,2579.0,2612,0.577152666015625,False,REGULAR,USD
57,TSLA231222C00300000,2023-12-15 20:59:32+00:00,300.0,0.11,0.11,0.13,-0.060000002,-35.294117,8247.0,6892,0.6093789062500001,False,REGULAR,USD
58,TSLA231222C00305000,2023-12-15 20:57:35+00:00,305.0,0.08,0.08,0.11,-0.04,-33.333336,1835.0,2567,0.639652041015625,False,REGULAR,USD
59,TSLA231222C00310000,2023-12-15 20:59:10+00:00,310.0,0.06,0.06,0.08,-0.040000003,-40.000004,782.0,961,0.6601596484375001,False,REGULAR,USD
60,TSLA231222C00315000,2023-12-15 20:59:54+00:00,315.0,0.07,0.05,0.07,-0.020000003,-22.222225,232.0,1184,0.69336244140625,False,REGULAR,USD
61,TSLA231222C00320000,2023-12-15 20:56:04+00:00,320.0,0.05,0.04,0.06,-0.02,-28.571426,1528.0,1300,0.7226590234375,False,REGULAR,USD
62,TSLA231222C00325000,2023-12-15 20:42:05+00:00,325.0,0.03,0.03,0.05,-0.049999997,-62.5,327.0,466,0.7460962890625,False,REGULAR,USD
63,TSLA231222C00330000,2023-12-15 20:34:28+00:00,330.0,0.03,0.02,0.03,-0.020000001,-40.000004,401.0,845,0.7500025,False,REGULAR,USD
64,TSLA231222C00335000,2023-12-15 20:18:12+00:00,335.0,0.02,0.02,0.04,-0.030000001,-60.000004,841.0,484,0.8007832421875,False,REGULAR,USD
65,TSLA231222C00340000,2023-12-15 20:59:47+00:00,340.0,0.02,0.01,0.02,-0.02,-50.0,606.0,838,0.7812521875,False,REGULAR,USD
66,TSLA231222C00345000,2023-12-15 19:46:32+00:00,345.0,0.02,0.01,0.02,-0.01,-33.333336,120.0,150,0.8203142968749999,False,REGULAR,USD
67,TSLA231222C00350000,2023-12-15 20:57:28+00:00,350.0,0.02,0.01,0.02,0.0,0.0,141.0,715,0.851563984375,False,REGULAR,USD
68,TSLA231222C00355000,2023-12-15 20:56:40+00:00,355.0,0.01,0.01,0.02,-0.01,-50.0,47.0,966,0.8906260937499999,False,REGULAR,USD
69,TSLA231222C00360000,2023-12-15 20:14:46+00:00,360.0,0.02,0.0,0.02,0.0,0.0,138.0,112,0.8906260937499999,False,REGULAR,USD
70,TSLA231222C00365000,2023-12-15 20:44:50+00:00,365.0,0.01,0.0,0.03,-0.01,-50.0,26.0,91,0.9531254687499999,False,REGULAR,USD
71,TSLA231222C00370000,2023-12-15 19:36:34+00:00,370.0,0.01,0.0,0.02,0.0,0.0,342.0,84,0.9531254687499999,False,REGULAR,USD
72,TSLA231222C00375000,2023-12-15 19:48:06+00:00,375.0,0.01,0.0,0.02,0.0,0.0,52.0,794,0.98437515625,False,REGULAR,USD
