,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
37,TSLA231229C00280000,2023-12-15 20:59:58+00:00,280.0,1.29,1.28,1.31,-0.00999999,-0.76923007,3848.0,6233,0.446294599609375,False,REGULAR,USD
38,TSLA231229C00285000,2023-12-15 20:59:52+00:00,285.0,0.94,0.91,0.98,0.0,0.0,1992.0,2933,0.46289599609375004,False,REGULAR,USD
39,TSLA231229C00290000,2023-12-15 20:59:22+00:00,290.0,0.7,0.66,0.69,-0.00999999,-1.4084494,1734.0,2510,0.471684970703125,False,REGULAR,USD
40,TSLA231229C00295000,2023-12-15 20:57:28+00:00,295.0,0.51,0.49,0.52,-0.00999999,-1.9230751,856.0,1477,0.48730981445312505,False,REGULAR,USD
41,TSLA231229C00300000,2023-12-15 20:59:23+00:00,300.0,0.4,0.38,0.39,0.01000002,2.564108,8608.0,8833,0.500005,False,REGULAR,USD
42,TSLA231229C00305000,2023-12-15 20:58:56+00:00,305.0,0.29,0.29,0.32,-0.02000001,-6.4516163,350.0,801,0.51758294921875,False,REGULAR,USD
43,TSLA231229C00310000,2023-12-15 20:57:25+00:00,310.0,0.23,0.23,0.26,-0.019999996,-7.999998,729.0,1384,0.5351608984375,False,REGULAR,USD
44,TSLA231229C00315000,2023-12-15 20:54:26+00:00,315.0,0.18,0.18,0.21,-0.049999997,-21.739128,337.0,888,0.5507857421875001,False,REGULAR,USD
45,TSLA231229C00320000,2023-12-15 20:59:40+00:00,320.0,0.17,0.15,0.17,-0.010000005,-5.555558,155.0,872,0.567387138671875,False,REGULAR,USD
46,TSLA231229C00325000,2023-12-15 20:59:24+00:00,325.0,0.12,0.12,0.15,-0.030000009,-20.000004,616.0,573,0.585941640625,False,REGULAR,USD
47,TSLA231229C00330000,2023-12-15 20:53:29+00:00,330.0,0.11,0.1,0.13,-0.019999996,-15.384613,660.0,1321,0.6035195898437502,False,REGULAR,USD
48,TSLA231229C00335000,2023-12-15 20:51:30+00:00,335.0,0.09,0.08,0.11,-0.019999996,-18.181814,45.0,333,0.6171913281250001,False,REGULAR,USD
49,TSLA231229C00340000,2023-12-15 20:55:23+00:00,340.0,0.08,0.07,0.1,-0.010000005,-11.111116,5.0,616,0.6367223828125,False,REGULAR,USD
50,TSLA231229C00345000,2023-12-15 20:17:12+00:00,345.0,0.05,0.06,0.09,-0.040000003,-44.444447,43.0,227,0.6562534375000001,False,REGULAR,USD
51,TSLA231229C00350000,2023-12-15 20:59:57+00:00,350.0,0.07,0.05,0.07,-0.009999998,-12.499998,367.0,1531,0.6640658593750002,False,REGULAR,USD
52,TSLA231229C00355000,2023-12-15 20:53:29+00:00,355.0,0.04,0.04,0.06,-0.030000001,-42.857143,389.0,130,0.6757844921875001,False,REGULAR,USD
53,TSLA231229C00360000,2023-12-15 17:01:18+00:00,360.0,0.04,0.03,0.06,-0.010000002,-20.000004,4.0,209,0.6953155468750001,False,REGULAR,USD
