,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,TSLA260116C00005000,2023-12-15 18:53:39+00:00,5.0,248.0,246.2,252.8,0.3999939,0.16154842,5,203,1.6308612207031248,True,REGULAR,USD
1,TSLA260116C00010000,2023-12-15 18:23:32+00:00,10.0,245.0,241.7,248.35,3.0,1.2396694,6,225,1.3759796826171873,True,REGULAR,USD
2,TSLA260116C00020000,2023-12-14 15:47:43+00:00,20.0,231.5,232.85,239.5,0.0,0.0,2,42,1.1652873767089846,True,REGULAR,USD
3,TSLA260116C00030000,2023-12-11 19:33:25+00:00,30.0,214.0,224.1,230.75,0.0,0.0,2,45,1.0511522052001954,True,REGULAR,USD
4,TSLA260116C00040000,2023-12-14 20:08:57+00:00,40.0,218.0,215.45,222.1,2.0,0.9259259,1,44,0.9721682470703125,True,REGULAR,USD
5,TSLA260116C00050000,2023-12-15 17:51:18+00:00,50.0,209.5,206.9,213.5,1.5,0.72115386,3,123,0.9104012866210938,True,REGULAR,USD
6,TSLA260116C00060000,2023-12-15 14:49:34+00:00,60.0,201.1,198.4,205.05,14.180008,7.5861373,3,40,0.8601088208007812,True,REGULAR,USD
7,TSLA260116C00070000,2023-12-04 17:25:27+00:00,70.0,174.66,190.1,195.7,0.0,0.0,3,14,0.8046284185791015,True,REGULAR,USD
8,TSLA260116C00080000,2023-12-14 20:51:00+00:00,80.0,182.5,182.1,187.45,0.0,0.0,21,552,0.7728294201660157,True,REGULAR,USD
9,TSLA260116C00090000,2023-12-13 19:50:59+00:00,90.0,162.0,174.35,180.3,0.0,0.0,7,38,0.7558007818603516,True,REGULAR,USD
10,TSLA260116C00100000,2023-12-15 20:41:40+00:00,100.0,169.0,166.8,172.35,0.5,0.2967359,2,382,0.7306545489501952,True,REGULAR,USD
11,TSLA260116C00105000,2023-12-14 18:05:02+00:00,105.0,163.0,163.95,167.6,0.0,0.0,28,298,0.7193021234130859,True,REGULAR,USD
12,TSLA260116C00110000,2023-12-14 18:46:17+00:00,110.0,157.85,160.3,163.75,0.0,0.0,13,153,0.70859056060791,True,REGULAR,USD
13,TSLA260116C00115000,2023-12-14 18:46:24+00:00,115.0,154.05,156.65,160.05,0.0,0.0,150,75,0.6988860678100587,True,REGULAR,USD
14,TSLA260116C00120000,2023-12-15 17:25:34+00:00,120.0,154.5,153.05,156.4,4.100006,2.726068,1,247,0.6896698513793947,True,REGULAR,USD
15,TSLA260116C00125000,2023-12-14 18:05:06+00:00,125.0,149.36,149.5,152.85,0.9600067,0.6469048,2,35,0.6812470840454102,True,REGULAR,USD
16,TSLA260116C00130000,2023-12-12 18:02:45+00:00,130.0,131.0,146.0,149.35,0.0,0.0,1,64,0.6731905239868167,True,REGULAR,USD
17,TSLA260116C00135000,2023-12-15 14:57:30+00:00,135.0,141.2,142.55,145.9,12.199997,9.457361,1,236,0.6654696539306644,True,REGULAR,USD
18,TSLA260116C00140000,2023-12-15 19:15:40+00:00,140.0,139.35,139.2,142.5,18.820007,15.614375,1,154,0.6583896466064454,True,REGULAR,USD
19,TSLA260116C00145000,2023-12-15 18:28:22+00:00,145.0,136.99,135.9,139.2,0.16999817,0.12424949,2,164,0.6518589501953126,True,REGULAR,USD
20,TSLA260116C00150000,2023-12-15 20:40:31+00:00,150.0,135.2,133.0,135.2,2.0399933,1.5319865,20,1153,0.6432225619506836,True,REGULAR,USD
21,TSLA260116C00155000,2023-12-14 17:17:47+00:00,155.0,129.0,129.7,132.6,0.0,0.0,1,129,0.6400182482910157,True,REGULAR,USD
22,TSLA260116C00160000,2023-12-15 16:07:21+00:00,160.0,125.8,126.55,128.9,5.7400055,4.780947,5,459,0.6311072045898438,True,REGULAR,USD
23,TSLA260116C00165000,2023-12-15 17:02:03+00:00,165.0,124.38,123.55,125.85,16.369995,15.155999,1,347,0.6262549581909181,True,REGULAR,USD
24,TSLA260116C00170000,2023-12-15 16:09:49+00:00,170.0,119.6,120.45,123.4,0.049995422,0.041819677,16,322,0.6235541795349122,True,REGULAR,USD
25,TSLA260116C00175000,2023-12-15 19:23:01+00:00,175.0,117.22,117.6,119.9,-1.2799988,-1.0801678,10,530,0.6163978790283204,True,REGULAR,USD
26,TSLA260116C00180000,2023-12-15 19:10:45+00:00,180.0,114.45,114.7,116.9,-1.1500015,-0.994811,7,436,0.611179425354004,True,REGULAR,USD
27,TSLA260116C00185000,2023-12-15 16:35:55+00:00,185.0,112.09,111.8,114.15,12.179993,12.190964,2,108,0.6068307139587403,True,REGULAR,USD
28,TSLA260116C00190000,2023-12-15 15:39:04+00:00,190.0,108.53,109.0,111.45,-1.4000015,-1.2735391,2,314,0.6028024339294435,True,REGULAR,USD
29,TSLA260116C00195000,2023-12-14 16:31:16+00:00,195.0,103.5,106.3,108.7,0.0,0.0,1,127,0.5986520848083496,True,REGULAR,USD
30,TSLA260116C00200000,2023-12-15 20:51:45+00:00,200.0,105.11,103.7,105.3,2.1100006,2.0485442,91,3625,0.5917551811218262,True,REGULAR,USD
31,TSLA260116C00210000,2023-12-15 20:57:49+00:00,210.0,100.37,99.4,100.35,3.050003,3.1339939,9,695,0.588917074737549,True,REGULAR,USD
32,TSLA260116C00220000,2023-12-15 20:43:28+00:00,220.0,94.7,94.5,95.45,2.369995,2.5668745,5,2259,0.5822795678710937,True,REGULAR,USD
33,TSLA260116C00230000,2023-12-15 20:56:07+00:00,230.0,91.0,89.9,90.5,2.1500015,2.4198103,23,1003,0.5753826641845703,True,REGULAR,USD
34,TSLA260116C00240000,2023-12-15 18:53:08+00:00,240.0,85.05,85.5,86.4,0.6500015,0.770144,24,2849,0.5713696427917481,True,REGULAR,USD
35,TSLA260116C00250000,2023-12-15 20:55:57+00:00,250.0,82.2,81.3,82.45,2.5999985,3.2663298,151,2298,0.5674481732177734,True,REGULAR,USD
36,TSLA260116C00260000,2023-12-15 18:55:34+00:00,260.0,77.63,77.35,78.45,2.2299957,2.9575539,196,1759,0.5630994618225098,False,REGULAR,USD
37,TSLA260116C00270000,2023-12-15 20:26:41+00:00,270.0,74.14,73.55,74.65,2.0899963,2.9007583,24,961,0.5589414833831787,False,REGULAR,USD
38,TSLA260116C00280000,2023-12-15 20:54:43+00:00,280.0,71.0,70.0,71.05,2.449997,3.574029,31,675,0.5553480744934083,False,REGULAR,USD
39,TSLA260116C00290000,2023-12-15 15:43:11+00:00,290.0,66.45,66.6,67.65,1.1499939,1.7610931,1,496,0.5519911744689943,False,REGULAR,USD
40,TSLA260116C00300000,2023-12-15 20:56:58+00:00,300.0,64.25,63.35,64.0,2.4000015,3.8803582,113,5742,0.5473220317077638,False,REGULAR,USD
41,TSLA260116C00310000,2023-12-15 20:21:34+00:00,310.0,60.2,60.3,61.3,1.3699989,2.328742,20,544,0.545750392150879,False,REGULAR,USD
42,TSLA260116C00320000,2023-12-15 20:54:40+00:00,320.0,58.25,57.4,58.4,2.25,4.017857,87,720,0.5431030187225342,False,REGULAR,USD
43,TSLA260116C00330000,2023-12-15 20:51:54+00:00,330.0,55.33,54.65,55.65,1.4300003,2.6530619,15,1367,0.5406540075683595,False,REGULAR,USD
44,TSLA260116C00340000,2023-12-15 16:26:42+00:00,340.0,51.56,52.05,53.0,2.210003,4.478223,36,253,0.5382584016418459,False,REGULAR,USD
45,TSLA260116C00350000,2023-12-15 19:24:11+00:00,350.0,49.71,49.55,50.55,1.1100006,2.283952,61,3062,0.5361145632171631,False,REGULAR,USD
46,TSLA260116C00360000,2023-12-15 20:54:33+00:00,360.0,47.84,47.25,48.2,5.1800003,12.142524,33,523,0.5342682682037354,False,REGULAR,USD
47,TSLA260116C00370000,2023-12-15 20:51:47+00:00,370.0,45.8,45.05,45.75,1.9500008,4.4469805,12,274,0.5317124465942383,False,REGULAR,USD
48,TSLA260116C00380000,2023-12-14 17:54:45+00:00,380.0,42.65,42.95,43.65,0.0,0.0,25,476,0.5300492552185059,False,REGULAR,USD
49,TSLA260116C00390000,2023-12-15 15:58:37+00:00,390.0,41.07,41.0,41.7,0.7200012,1.7843896,31,258,0.5287675297546388,False,REGULAR,USD
50,TSLA260116C00400000,2023-12-15 20:51:06+00:00,400.0,39.84,39.15,39.8,1.8400002,4.8421054,1017,5878,0.527394252471924,False,REGULAR,USD
51,TSLA260116C00410000,2023-12-15 15:25:51+00:00,410.0,37.75,37.5,38.05,1.75,4.861111,4,265,0.5266618379211427,False,REGULAR,USD
52,TSLA260116C00420000,2023-12-15 20:51:53+00:00,420.0,36.38,35.8,36.35,1.2000008,3.4110312,7,3343,0.5253801124572754,False,REGULAR,USD
53,TSLA260116C00430000,2023-12-15 15:36:25+00:00,430.0,34.15,34.25,34.75,0.6500015,1.9403031,2,185,0.5244493356323242,False,REGULAR,USD
54,TSLA260116C00440000,2023-12-15 14:44:53+00:00,440.0,32.41,32.75,33.25,1.5100002,4.886732,6,1427,0.5235490760803223,False,REGULAR,USD
55,TSLA260116C00450000,2023-12-15 20:59:04+00:00,450.0,31.7,31.35,31.85,0.87000084,2.8219295,47,1627,0.5228776960754395,False,REGULAR,USD
56,TSLA260116C00460000,2023-12-15 15:48:52+00:00,460.0,29.65,30.0,30.5,0.29999924,1.022144,15,1589,0.5221147642517088,False,REGULAR,USD
57,TSLA260116C00470000,2023-12-15 16:37:36+00:00,470.0,28.85,28.75,29.2,1.0500011,3.7769828,2,707,0.5214586428833007,False,REGULAR,USD
58,TSLA260116C00480000,2023-12-14 14:43:44+00:00,480.0,24.8,27.55,28.0,0.0,0.0,6,263,0.520939849243164,False,REGULAR,USD
59,TSLA260116C00490000,2023-12-15 17:32:36+00:00,490.0,26.8,26.4,26.85,1.8099995,7.242895,1,618,0.5203752796936034,False,REGULAR,USD
60,TSLA260116C00500000,2023-12-15 20:49:17+00:00,500.0,25.6,25.35,25.8,0.80000114,3.2258112,188,8895,0.5202074346923828,False,REGULAR,USD
61,TSLA260116C00510000,2023-12-15 20:58:04+00:00,510.0,24.67,24.3,24.7,1.0400009,4.401189,92,6507,0.5194597615051271,False,REGULAR,USD
